SANPHAM,MASANPHAM,TENSANPHAM,BARCODE,DONVITINH,LOAITIEN,GIAVON,GIABAN,GIADAILY,VAT,BAOHANH,HANGSANXUAT,XUATXU,CHATLIEU,MAUSAC,MOTASANPHAM,GHICHU,TIMEACTION,MA_CHI_NHANH,HOATDONG,KEYACCESS,CYL_ADD,CYL_SUB,SPH_ADD,SPH_SUB,URL_IMAGE,VITRI,MAMAUIN,MASANPHAM_DIS,NHOMSP
44139,.,.,N000072491,0,VND,0,0,0,0,0,,0,,0,,,29/4/2021,VP,0,NAMHAI,,,,,,0,,,
36029,0705/P/S RZZWJ (62CN),KÍNH MÁT BOSS 0705/P/S RZZWJ (62CN),N000064360,0,VND,0,2750000,0,10,0,,0,,0,,,11/8/2018,,0,NAMHAI,,,,,,,,,
36031,0705/P/S SRLLA (62CN),KÍNH MÁT BOSS 0705/P/S SRLLA (62CN),N000064362,0,VND,0,2750000,0,10,0,,0,,0,,,2/10/2017,,0,NAMHAI,,,,,,,,,
36030,0706/P/S LN4M9 (60CN),KÍNH MÁT BOSS 0706/P/S LN4M9 (60CN),N000064361,0,VND,0,2750000,0,10,0,,0,,0,,,2/10/2017,,0,NAMHAI,,,,,,,,,
21432,09937,thủy tinh đổi màu,N000009937,0,VND,0,40000,10000,10,0,,0,,0,,,15/3/2017,,0,NAMHAI,,,,,,,,,
21433,0994 (52CN) C14,GỌNG SWAROVSKI 0994 (52CN) C14,N000019272,0,VND,0,315000,,10,90,,4,T,0,,,1/4/2017,,0,NAMHAI,,,,,,,,,
44703,1..60 KODAK S+6.00 C-0.50,"Mắt 1.60 KODAK FSV,UV400 Clean'N'CleAR",N000073024,0,VND,0,400000,0,10,0,,0,,0,,,1/7/2021,VP,0,NAMHAI,,-0.50,+6.00,,,0,,,
43652,1..61 CHEMI S+3.00 C-0.75,Mắt 1.61 CHEMI Crystal U2 Coated,N000072005,0,VND,0,200000,0,0,0,,0,,0,,,29/6/2021,VP,0,NAMHAI,,-0.75,+3.00,,,0,,,
44379,1.367 KODAK S+4.75 C-1.50,"Mắt 1.67 KODAK FSV,UV400 Clean'N'CleAR",N000072701,0,VND,0,600000,0,10,0,,0,,0,,,26/6/2021,VP,0,NAMHAI,,-1.50,+4.75,,,0,,,
44392,1.367 KODAK S+5.25 C-1.50,"Mắt 1.67 KODAK FSV,UV400 Clean'N'CleAR",N000072714,0,VND,0,600000,0,10,0,,0,,0,,,26/6/2021,VP,0,NAMHAI,,-1.50,+5.25,,,0,,,
21434,1.49 CR S+0.50 C-0.50,Mat vien ram 1.49 Korea,N000012555,,VND,,160000,0,10,0,,0,,0,,,16/2/2017,VH,0,NAMHAI,,,,,,,,,
21435,1.49 CR S+0.75 C-0.00,MẮT VIỄN RÂM,N123123123,0,VND,0,160000,,0,0,,0,,0,,,15/5/2017,,0,NAMHAI,,,,,,,,,
21436,1.49 CR S-0.00 C-0.00,Mat can ram 1.49 Korea,N000003849,0,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21437,1.49 CR S-0.00 C-0.50,Mat can ram 1.49 Korea,N000003890,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21438,1.49 CR S-0.00 C-0.75,Mat can ram 1.49 Korea,N000003932,0,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21439,1.49 CR S-0.00 C-1.00,Mat can ram 1.49 Korea,N000003973,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21440,1.49 CR S-0.00 C-1.25,Mat can ram 1.49 Korea,N000004014,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21441,1.49 CR S-0.00 C-1.50,Mat can ram 1.49 Korea,N000004055,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21442,1.49 CR S-0.00 C-1.75,Mat can ram 1.49 Korea,N000004096,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21443,1.49 CR S-0.00 C-2.00,Mat can ram 1.49 Korea,N000004137,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
